model,dataset,dataset_path,method,budget,n_sink,context_len,target_len,token_offset,position_mode,ppl,ttft_s,prefill_time_s,tpot_ms,throughput_tok_s,peak_mem_mb,prefill_cache_len,final_cache_len,prefill_cache_len_layer0,prefill_cache_len_avg,prefill_cache_len_min,prefill_cache_len_max,prefill_cache_lens,final_cache_len_layer0,final_cache_len_avg,final_cache_len_min,final_cache_len_max,final_cache_lens
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_decode_only,512,4,1536,512,0,absolute,30.392430481112108,0.03277485500075272,0.03277485500075272,8.053890342467398,124.16359765008163,312.72998046875,1536,512,1536,1536.0,1536,1536,"[1536, 1536, 1536, 1536, 1536, 1536]",512,512.0,512,512,"[512, 512, 512, 512, 512, 512]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_decode_only,768,4,1536,512,0,absolute,30.52332753761914,0.02046984000116936,0.02046984000116936,7.812158796473688,128.00559052273587,312.72998046875,1536,768,1536,1536.0,1536,1536,"[1536, 1536, 1536, 1536, 1536, 1536]",768,768.0,768,768,"[768, 768, 768, 768, 768, 768]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,streaming_decode_only,1024,4,1536,512,0,absolute,30.47171862483731,0.02040562399997725,0.02040562399997725,6.811147101766019,146.81814752477104,313.22607421875,1536,1024,1536,1536.0,1536,1536,"[1536, 1536, 1536, 1536, 1536, 1536]",1024,1024.0,1024,1024,"[1024, 1024, 1024, 1024, 1024, 1024]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,knorm_prefill,256,4,1536,512,0,absolute,36.63460210230932,0.029224998997960938,0.029224998997960938,6.4845684853244805,154.2122659762396,302.314453125,256,767,256,256.0,256,256,"[256, 256, 256, 256, 256, 256]",767,767.0,767,767,"[767, 767, 767, 767, 767, 767]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,knorm_prefill,512,4,1536,512,0,absolute,35.04172728275634,0.027607437998085516,0.027607437998085516,7.1419968884505485,140.01686301727713,305.314453125,512,1023,512,512.0,512,512,"[512, 512, 512, 512, 512, 512]",1023,1023.0,1023,1023,"[1023, 1023, 1023, 1023, 1023, 1023]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,knorm_prefill,768,4,1536,512,0,absolute,34.39237607232312,0.028832201001932845,0.028832201001932845,7.2069959863019655,138.75406645163366,311.203125,768,1279,768,768.0,768,768,"[768, 768, 768, 768, 768, 768]",1279,1279.0,1279,1279,"[1279, 1279, 1279, 1279, 1279, 1279]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,knorm_prefill,1024,4,1536,512,0,absolute,32.32722692657495,0.032860495997738326,0.032860495997738326,7.523842743634262,132.9108055648924,311.8115234375,1024,1535,1024,1024.0,1024,1024,"[1024, 1024, 1024, 1024, 1024, 1024]",1535,1535.0,1535,1535,"[1535, 1535, 1535, 1535, 1535, 1535]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,knorm_online,256,4,1536,512,0,absolute,563.7440316478516,0.023793088999809697,0.023793088999809697,9.111962093936187,109.74584723804747,296.7197265625,256,256,256,256.0,256,256,"[256, 256, 256, 256, 256, 256]",256,256.0,256,256,"[256, 256, 256, 256, 256, 256]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,knorm_online,512,4,1536,512,0,absolute,309.2435094166542,0.0247331030004716,0.0247331030004716,8.881777896285374,112.59007055538171,299.7197265625,512,512,512,512.0,512,512,"[512, 512, 512, 512, 512, 512]",512,512.0,512,512,"[512, 512, 512, 512, 512, 512]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,knorm_online,768,4,1536,512,0,absolute,215.13265594980263,0.03403036599775078,0.03403036599775078,9.64197947358155,103.71314342038794,302.89404296875,768,768,768,768.0,768,768,"[768, 768, 768, 768, 768, 768]",768,768.0,768,768,"[768, 768, 768, 768, 768, 768]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,knorm_online,1024,4,1536,512,0,absolute,133.78053294131092,0.027562335999391507,0.027562335999391507,9.103701270053618,109.84543213093704,306.41748046875,1024,1024,1024,1024.0,1024,1024,"[1024, 1024, 1024, 1024, 1024, 1024]",1024,1024.0,1024,1024,"[1024, 1024, 1024, 1024, 1024, 1024]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,snapkv_prefill,256,4,1536,512,0,absolute,29.964819653224108,0.03538158299852512,0.03538158299852512,6.918771091977671,144.5343380646748,302.314453125,256,767,256,256.0,256,256,"[256, 256, 256, 256, 256, 256]",767,767.0,767,767,"[767, 767, 767, 767, 767, 767]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,snapkv_prefill,512,4,1536,512,0,absolute,29.565031288011838,0.03494114199929754,0.03494114199929754,6.107451483362842,163.73441569271162,305.314453125,512,1023,512,512.0,512,512,"[512, 512, 512, 512, 512, 512]",1023,1023.0,1023,1023,"[1023, 1023, 1023, 1023, 1023, 1023]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,snapkv_prefill,768,4,1536,512,0,absolute,29.92426890244909,0.045380051000392996,0.045380051000392996,8.127328859102331,123.04165579322338,311.203125,768,1279,768,768.0,768,768,"[768, 768, 768, 768, 768, 768]",1279,1279.0,1279,1279,"[1279, 1279, 1279, 1279, 1279, 1279]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,snapkv_prefill,1024,4,1536,512,0,absolute,30.361667167351563,0.04410856299728039,0.04410856299728039,7.1965204246610215,138.95604278050848,311.8115234375,1024,1535,1024,1024.0,1024,1024,"[1024, 1024, 1024, 1024, 1024, 1024]",1535,1535.0,1535,1535,"[1535, 1535, 1535, 1535, 1535, 1535]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,pyramidkv_prefill,256,4,1536,512,0,absolute,29.87834740431495,0.03638416699686786,0.03638416699686786,9.099151557728323,109.90035649539813,302.314453125,469,980,469,256.0,43,469,"[469, 384, 299, 213, 128, 43]",980,767.0,554,980,"[980, 895, 810, 724, 639, 554]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,pyramidkv_prefill,512,4,1536,512,0,absolute,30.325440641975334,0.04239911499826121,0.04239911499826121,7.558537467706692,132.30072673085607,308.060546875,968,1479,968,512.0,56,968,"[968, 786, 603, 421, 238, 56]",1479,1023.0,567,1479,"[1479, 1297, 1114, 932, 749, 567]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,pyramidkv_prefill,768,4,1536,512,0,absolute,30.397561638187323,0.037423062000016216,0.037423062000016216,7.160039097846417,139.66404182077417,313.0009765625,1467,1978,1467,768.0,69,1467,"[1467, 1188, 908, 628, 348, 69]",1978,1279.0,580,1978,"[1978, 1699, 1419, 1139, 859, 580]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,pyramidkv_prefill,1024,4,1536,512,0,absolute,30.594675068966797,0.03280474200073513,0.03280474200073513,6.832590741681189,146.35736835511761,316.24609375,1536,2047,1536,1024.0,512,1536,"[1536, 1331, 1126, 922, 717, 512]",2047,1535.0,1023,2047,"[2047, 1842, 1637, 1433, 1228, 1023]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,wikitext,data/WikiText-2/test.txt,streaming_prefill,256,4,1536,512,0,absolute,61.695467808324054,0.02235266399657121,0.02235266399657121,6.747194998047279,148.20973757085903,302.314453125,256,767,256,256.0,256,256,"[256, 256, 256, 256, 256, 256]",767,767.0,767,767,"[767, 767, 767, 767, 767, 767]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,wikitext,data/WikiText-2/test.txt,streaming_prefill,512,4,1536,512,0,absolute,60.15856403205876,0.02246145999743021,0.02246145999743021,6.755329227009369,148.03127521924003,305.314453125,512,1023,512,512.0,512,512,"[512, 512, 512, 512, 512, 512]",1023,1023.0,1023,1023,"[1023, 1023, 1023, 1023, 1023, 1023]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,wikitext,data/WikiText-2/test.txt,streaming_prefill,768,4,1536,512,0,absolute,59.672330558113615,0.03211095799997565,0.03211095799997565,7.270422798430548,137.5435827770385,311.203125,768,1279,768,768.0,768,768,"[768, 768, 768, 768, 768, 768]",1279,1279.0,1279,1279,"[1279, 1279, 1279, 1279, 1279, 1279]"
